OTU_ID,0,2000,4000,6000,8000,10000,12000,14000,16000,18000,20000,22000
OTU48,0.001824239,0.003093274,0.000475888,0.000317259,0.000158629,0.041481599,0.178458122,0.031805203,0.031408629,0.060358503,0.003965736,0.014752538
OTU17,0.055758249,0.030774112,0.065513959,0.050840736,0.039102157,0.044892132,0.018401015,0.090180838,0.05258566,0.062579315,0.037436548,0.031567259
OTU39,0.044812817,0.071541878,0.038071066,0.037515863,0.032915609,0.015149112,0.020463198,0.019114848,0.020542513,0.024349619,0.025460025,0.013959391
OTU85,0.002220812,0.005393401,0.001665609,0.000634518,0.000555203,0.002538071,0.023794416,0.001110406,0.06821066,0.009993655,0.002538071,0.032677665
OTU41,0.05409264,0.014355964,0.014355964,0.028791244,0.029505076,0.026094543,0.019194162,0.015625,0.017052665,0.018163071,0.013166244,0.008724619
OTU33,0.00555203,0.02284264,0.048778553,0.011738579,0.012531726,0.032122462,0.005234772,0.003648477,0.019590736,0.049968274,0.034263959,0.038388325
OTU43,0.012055838,0.008010787,0.046002538,0.015307741,0.013800761,0.016497462,0.008169416,0.034660533,0.017845812,0.022921954,0.012690355,0.026015228
OTU99,0.000793147,0.003807107,0.002696701,0.006345178,0.000237944,0.000317259,0.005948604,0.039895305,0.003093274,0.001031091,0.002300127,0.000555203
OTU44,0.020066624,0.018083756,0.02839467,0.016259518,0.018876904,0.018956218,0.012373096,0.022049492,0.012135152,0.022763325,0.034660533,0.019035533
OTU66,0.018163071,0.023318528,0.026491117,0.020463198,0.026570431,0.025935914,0.015069797,0.021811548,0.013086929,0.01427665,0.033312183,0.020383883
OTU89,0,0.001824239,0.031963832,0.004917513,0.000951777,0.000237944,0.007455584,0.002458756,0.025222081,0.000634518,0.012611041,0.001982868
OTU109,0.017369924,0.000237944,0.001824239,0.012531726,0.001744924,0.024746193,0.002696701,0.009200508,0.003410533,0.007455584,0.002300127,0.00285533
OTU153,0.000634518,0.007852157,0.000555203,0,0,0.004282995,0.000237944,0.024270305,0.006424492,0,0.005314086,0.000793147
OTU100,0.000872462,0.015387056,0.005393401,0.001586294,0.006186548,0.002696701,0.017766497,0.001903553,0.004282995,0.000158629,0.02284264,0.000713832
OTU71,0.012135152,0.004282995,0.014911168,0.013007614,0.011024746,0.008962563,0.004282995,0.020225254,0.018401015,0.008883249,0.008486675,0.008328046
OTU51,0.009121193,0.012848985,0.013245558,0.019194162,0.020066624,0.019114848,0.015466371,0.013721447,0.01411802,0.014990482,0.012055838,0.01142132
OTU97,0.014435279,0.011342005,0.009517766,0.014514594,0.010786802,0.018163071,0.008645305,0.007852157,0.010152284,0.007138325,0.011976523,0.013562817
OTU117,0.003410533,0.012690355,0.007138325,0.007693528,0.017925127,0.005789975,0.007852157,0.00285533,0.002458756,0.002776015,0.006186548,0.00721764
OTU138,0.017449239,0.001189721,0.000237944,0.006027919,0.00150698,0.001189721,0.001982868,0.001189721,0.000872462,0.003251904,0,0.00134835
OTU87,0.00150698,0.008010787,0.006662437,0.010548858,0.002696701,0.006503807,0.016180203,0.005076142,0.010945431,0.00840736,0.006186548,0.006900381
OTU94,0.008724619,0.005234772,0.009676396,0.006027919,0.008090102,0.007534898,0.003489848,0.015466371,0.008645305,0.008090102,0.006979695,0.005869289
OTU82,0.003886421,0.010786802,0.008803934,0.010707487,0.009517766,0.007296954,0.010707487,0.003251904,0.006741751,0.010548858,0.015228426,0.014435279
OTU114,0.008328046,0.014911168,0.000713832,0.000634518,0.000872462,0.000555203,0.003807107,0.000634518,0.013324873,0.00436231,0.002538071,0.007138325
